Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors
Samsung Galaxy A54,"[{'128GB 6GB RAM': '$\u2009154.76'}, {'128GB 8GB RAM': '$\u2009174.95'}, {'256GB 8GB RAM': '$\u2009499.99'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66 - International","HSPA, LTE, 5G",158.2 x 76.7 x 8.2 mm (6.23 x 3.02 x 0.32 in),202 g (7.13 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",Nano-SIM + ,"6.4 inches, 100.5 cm","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6.1",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.X"", 1.12µm,
5 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",5000 mAh,25W wired,"Lime, Graphite, Violet, White"
Samsung Galaxy M54,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",164.9 x 77.3 x 8.4 mm (6.49 x 3.04 x 0.33 in),199 g (7.02 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 13, One UI 5.1",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","108 MP, f/1.8, (wide), PDAF, OIS,
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),No,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,25W wired,"Dark Blue, Silver"
Samsung Galaxy F14,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE-А, 5G",166.8 x 77.2 x 9.4 mm (6.57 x 3.04 x 0.37 in),206 g (7.27 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.6 inches, 104.9 cm","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","Android 13, One UI Core 5.1",Exynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE",No,"FM radio, recording",USB Type-C 2.0,Li-Po 6000 mAh,25W wired,"Black, Green, Purple"
Samsung Galaxy A24 4G,[{'128GB 4GB RAM': '$\u2009129.50'}],GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",162.1 x 77.6 x 8.3 mm (6.38 x 3.06 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back",Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS,
5 MP, f/2.2, 17mm, 123˚ (ultrawide), 1/5.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes (market/region dependent),Unspecified,USB Type-C 2.0,Li-Po 5000 mAh,25W wired,"Black, Lime Green, Blue gradient, Dark red"
Samsung Galaxy F54,"[{'256GB 8GB RAM': '₹\u200935,000'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",164.9 x 77.3 x 8.4 mm (6.49 x 3.04 x 0.33 in),199 g (7.02 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 13, up to 4 major Android upgrades, One UI 5.1",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),256GB 8GB RAM,"108 MP, f/1.8, (wide), PDAF, OIS,
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm,
2 MP, f/2.4, (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","4K@30fps, 1080p@30fps",Yes,No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,Unspecified charging speed,"Meteor Blue, Stardust Silver"
Samsung Galaxy M34 5G,"[{'128GB 6GB RAM': '₹\u200918,499'}, {'128GB 8GB RAM': '₹\u200914,999'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",161.7 x 77.2 x 8.8 mm (6.37 x 3.04 x 0.35 in),208 g (7.34 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 13, upgradable to Android 14, One UI 6",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide),
2 MP, f/2.4","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","13 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,FM radio,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,25W wired,"Midnight Blue, Prism Silver, Waterfall Blue"
Samsung Galaxy Tab S9,"[{'128GB 8GB RAM': 'C$\u20092,537.97'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",254.3 x 165.8 x 5.9 mm (10.01 x 6.53 x 0.23 in),498 g (1.10 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM + ,"11.0 inches, 350.9 cm","1600 x 2560 pixels, 16:10 ratio (~274 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","12 MP, f/2.4, 120˚ (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 3.2, magnetic connector",Li-Po 8400 mAh,45W wired,"Beige, Graphite"
Samsung Galaxy Tab S9+,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",285.4 x 185.4 x 5.7 mm (11.24 x 7.30 x 0.22 in),586 g (581 g Wi-Fi) (1.29 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM + ,"12.4 inches, 446.1 cm","1752 x 2800 pixels, 16:10 ratio (~266 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,microSDXC (dedicated slot),"256GB 12GB RAM, 512GB 12GB RAM","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF,
8 MP, f/2.2, (ultrawide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","12 MP, f/2.4, 120˚ (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 3.2, magnetic connector",Li-Po 10090 mAh,45W wired,"Beige, Graphite"
Samsung Galaxy Tab S9 Ultra,,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",326.4 x 208.6 x 5.5 mm (12.85 x 8.21 x 0.22 in),732 g (1.61 lb),"Glass front, aluminum frame, aluminum back",Nano-SIM + ,"14.6 inches, 617.8 cm","1848 x 2960 pixels, 16:10 ratio (~239 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,microSDXC (dedicated slot),"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","13 MP, f/2.0, 26mm (wide), 1/3.4"", 1.0µm, AF,
8 MP, f/2.2, (ultrawide)","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","12 MP, f/2.2, 26mm (wide),
12 MP, f/2.4, 120˚ (ultrawide)","4K@30fps, 1080p@30fps","Yes, with stereo speakers (4 speakers)",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 3.2, magnetic connector",Li-Po 11200 mAh,45W wired,"Beige, Graphite"
Samsung Galaxy Z Flip5,"[{'256GB 8GB RAM': '$\u2009439.99'}, {'512GB 8GB RAM': '$\u2009513.02'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66 - International","HSPA, LTE (CA), 5G",Unfolded: 165.1 x 71.9 x 6.9 mm,187 g (6.60 oz),"Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + ,"6.7 inches, 102.0 cm",1080 x 2640 pixels (~425 ppi density),"Android 13, upgradable to Android 14, One UI 6.1.1",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 8GB RAM, 512GB 8GB RAM","12 MP, f/1.8, 24mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS,
12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.06"", 1.12µm","LED flash, HDR, panorama","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+","10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",4K@30fps,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,No,"USB Type-C 3.2, OTG",Li-Po 3700 mAh,"25W wired, 50% in 30 min","Mint, Graphite, Cream, Lavender, Gray, Blue, Green, Yellow"
Samsung Galaxy Z Fold5,"[{'256GB 12GB RAM': '$\u20091,349.00'}, {'512GB 12GB RAM': '$\u20091,290.00'}, {'1TB 12GB RAM': '$\u20092,159.99'}]",GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66 - International","HSPA, LTE (CA), 5G",Unfolded: 154.9 x 129.9 x 6.1 mm,253 g (8.92 oz),"Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Nano-SIM + ,"7.6 inches, 183.2 cm",1812 x 2176 pixels (~373 ppi density),"Android 13, up to 4 major Android upgrades, One UI 6.1.1",Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS,
10 MP, f/2.4, 66mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom,
12 MP, f/2.2, 12mm, 123˚ (ultrawide), 1/3.06"", 1.12µm","LED flash, HDR, panorama","8K@30fps, 4K@60fps, 1080p@60/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+","4 MP, f/1.8, 26mm (wide), 1/3.0"", 2.0µm, under display,
Cover camera:,
10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.22µm","4K@30/60fps, 1080p@30/60fps, gyro-EIS","Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD",Yes,No,"USB Type-C 3.2, OTG",Li-Po 4400 mAh,"25W wired, 50% in 30 min","Icy Blue, Phantom Black, Cream, Gray, Blue"
Samsung Galaxy F34,"[{'128GB 8GB RAM': '₹\u200918,899'}]",GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","HSPA, LTE, 5G",161.7 x 77.2 x 8.8 mm (6.37 x 3.04 x 0.35 in),208 g (7.34 oz),,Nano-SIM + Nano-SIM,"6.5 inches, 103.7 cm","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Android 13, One UI 5.1",Exynos 1280 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), PDAF, OIS,
8 MP, f/2.2, 120˚ (ultrawide),
2 MP, f/2.4","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","13 MP, f/2.2, (wide)",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",Yes,Unspecified,"USB Type-C 2.0, OTG",Li-Po 6000 mAh,25W wired,"Electric Black, Mystic Green"
Samsung Galaxy A05,"[{'64GB 4GB RAM': '$\u200984.99'}, {'128GB 4GB RAM': '$\u200994.99'}, {'128GB 6GB RAM': '£\u200980.00'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168.8 x 78.2 x 8.8 mm (6.65 x 3.08 x 0.35 in),195 g (6.88 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.7 inches, 108.4 cm","720 x 1600 pixels, 20:9 ratio (~262 ppi density)",Android 13,Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide),  1/2.8"", 0.64µm, AF,
2 MP, f/2.4, (depth)",LED flash,1080p@30/60fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,Unspecified,USB Type-C 2.0,Li-Po 5000 mAh,25W wired,"Black, Silver, Light Green"
Samsung Galaxy A05s,"[{'128GB 4GB RAM': '$\u2009114.99'}, {'64GB 4GB RAM': 'C$\u2009154.99'}, {'128GB 6GB RAM': '£\u2009106.99'}]",GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE",168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),194 g (6.84 oz),"Glass front, plastic back, plastic frame",Nano-SIM,"6.7 inches, 108.4 cm","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Android 13,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), 1/2.8"", 0.64µm, AF,
2 MP, f/2.4, (macro),
2 MP, f/2.4, (depth)",LED flash,1080p@30/60fps,"13 MP, f/2.0, (wide), 1/3.X"", 1.12µm",1080p@30fps,Yes,Yes,"WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE",Yes (market/region dependent),Unspecified,USB Type-C 2.0,Li-Po 5000 mAh,25W wired,"Black, Silver, Light Green, Violet"
Samsung Galaxy Tab S9 FE,[{'128GB 6GB RAM': '$\u2009365.00'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",254.3 x 165.8 x 6.5 mm (10.01 x 6.53 x 0.26 in),523 g or 524 g (1.15 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"10.9 inches, 344.5 cm","1440 x 2304 pixels, 16:10 ratio (~249 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","8 MP, (wide)",,"4K@30fps, 1080p@30fps","12 MP, (ultrawide)",Yes,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 2.0, magnetic connector",Li-Po 8000 mAh,"45W wired, QC2.0","Mint, Silver, Gray, Lavender"
Samsung Galaxy Tab S9 FE+,[{'256GB 12GB RAM': '€\u2009709.99'}],GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 32, 38, 40, 41, 66","HSPA, LTE (CA), 5G - cellular model only",285.4 x 185.4 x 6.5 mm (11.24 x 7.30 x 0.26 in),627 g or 628 g (1.38 lb),"Glass front, aluminum back, aluminum frame",Nano-SIM + ,"12.4 inches, 445.8 cm","1600 x 2560 pixels, 16:10 ratio (~243 ppi density)","Android 13, up to 4 major Android upgrades, One UI 6",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","8 MP, (wide),
8 MP, (ultrawide)",,"4K@30fps, 1080p@30fps","12 MP, (ultrawide)",Yes,"Yes, with stereo speakers",No,"WLANWi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE",No,No,"USB Type-C 2.0, magnetic connector",Li-Po 10090 mAh,"45W wired, QC2.0","Mint, Silver, Gray, Lavender"
